Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
rf_roller_9,4.11971687513946E-07,0.000147339837026139,-3.37105088156486E-07,0,0,0,0.00139539531920026,4.53966365561195E-08,-1.46298482158066E-12,1.13411512356184E-11,2.13340869654702E-08,-1.03622497362521E-13,4.54067294937751E-08,0,0,0,0,0,0,package://prometheus_final/meshes/rf_roller_9.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://prometheus_final/meshes/rf_roller_9.STL,,Wheel-2/Rubber_sh-3,Coordinate System17,Axis16,rf_roller_9j,continuous,0.021524,-0.01525,-0.0076149,1.9108,0,1.5708,rf_wheel,0,-1,0,,,,,,,,,,,,
rf_roller_10,3.65247850991901E-08,0.00014733817321276,5.23246340394801E-07,0,0,0,0.00139539458442033,4.54140128786662E-08,9.3155322354689E-13,1.16747613732194E-12,2.13340901435685E-08,-1.12530735687212E-12,4.53893827266731E-08,0,0,0,0,0,0,package://prometheus_final/meshes/rf_roller_10.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://prometheus_final/meshes/rf_roller_10.STL,,Wheel-2/Rubber_sh-2,Coordinate System18,Axis17,rf_roller_10j,continuous,0.013893,-0.01525,0.018117,0.65421,0,1.5708,rf_wheel,0,-1,0,,,,,,,,,,,,
lf_wheel,3.53342355374764E-13,-0.00900489911745525,-3.03562730508133E-13,0,0,0,0.0389563583196813,6.96753570378056E-06,7.83505476210228E-21,5.71206203225495E-20,1.37135800312478E-05,-6.74076115452939E-21,6.96753570378056E-06,0,0,0,0,0,0,package://prometheus_final/meshes/lf_wheel.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://prometheus_final/meshes/lf_wheel.STL,,Wheel-1/Alu_Base-1;Wheel-1/Middle_Plastic-1;Wheel-1/Alu_Base-2,Coordinate System3,Axis2,lf_joint,continuous,0.0446476694394707,0.0816033915726884,0.00900000000000112,0,0,-0.488692190558411,base_link,0,1,0,,,,,,,,,,,,
lf_roller_1,-2.23983531777439E-07,-0.000147338259847404,-4.71888230269002E-07,0,0,0,0.00139539320327497,4.54062538059696E-08,-1.38133537583309E-12,-1.14553099067102E-11,2.13340741537148E-08,-4.85304820499261E-13,4.53970898490008E-08,0,0,0,0,0,0,package://prometheus_final/meshes/lf_roller_1.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://prometheus_final/meshes/lf_roller_1.STL,,Wheel-1/Rubber_sh-12,Coordinate System19,Axis18,lf_roller_1j,continuous,-0.0156999286975126,-0.00274999999999995,0.0165761602468557,-0.758256821058521,0,1.5707963267949,lf_wheel,0,-1,0,,,,,,,,,,,,
lf_roller_2,6.09835875409193E-08,-0.000147340264213591,-5.31926638132341E-07,0,0,0,0.00139539473216151,4.54140653184597E-08,-9.06279329768249E-13,-4.66345053331612E-13,2.13340766254018E-08,-1.16463834938261E-12,4.53892694934369E-08,0,0,0,0,0,0,package://prometheus_final/meshes/lf_roller_2.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://prometheus_final/meshes/lf_roller_2.STL,,Wheel-1/Rubber_sh-11,Coordinate System20,Axis19,lf_roller_2j,continuous,-0.0206164099959305,-0.00274999999999986,-0.00980920427537604,-2.01489388249438,0,1.5707963267949,lf_wheel,0,-1,0,,,,,,,,,,,,
lf_roller_3,5.06713228903832E-07,-0.000147338910557238,7.34481696851308E-08,0,0,0,0.00139539309324117,4.53893175610577E-08,1.16400570424861E-12,-3.43935044062127E-13,2.13340713590343E-08,-8.48749353651685E-13,4.5413983167911E-08,0,0,0,0,0,0,package://prometheus_final/meshes/lf_roller_3.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://prometheus_final/meshes/lf_roller_3.STL,,Wheel-1/Rubber_sh-10,Coordinate System21,Axis20,lf_roller_3j,continuous,0.0029582865940241,-0.00274999999999989,-0.0226385818916302,3.01134981689428,-0.068205684093041,1.57972303921801,lf_wheel,0,-1,0,,,,,,,,,,,,
lf_roller_4,-2.94458208621728E-07,-0.000147340487392178,4.55379331035233E-07,0,0,0,0.00139539666748033,4.54088054612058E-08,2.47047768836041E-13,1.02329048156636E-11,2.13340962106202E-08,1.45558263684776E-12,4.53945923266177E-08,0,0,0,0,0,0,package://prometheus_final/meshes/lf_roller_4.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://prometheus_final/meshes/lf_roller_4.STL,,Wheel-1/Rubber_sh-14,Coordinate System22,Axis21,lf_roller_4j,continuous,0.0224447316595033,-0.00274999999999997,-0.0041822087907489,1.75501730181332,0,1.57079632679488,lf_wheel,0,-1,0,,,,,,,,,,,,
lf_roller_5,2.71609476687473E-07,-0.000147339699725385,4.81130514942696E-07,0,0,0,0.00139539574968426,4.54048587135436E-08,1.4514290827857E-12,-1.20259903282334E-11,2.13340865732076E-08,4.10818361691801E-13,4.53985546275884E-08,0,0,0,0,0,0,package://prometheus_final/meshes/lf_roller_5.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://prometheus_final/meshes/lf_roller_5.STL,,Wheel-1/Rubber_sh-13,Coordinate System23,Axis22,lf_roller_5j,continuous,0.0109133204399212,-0.00274999999999995,0.020053834710899,0.498380240377435,0,1.5707963267949,lf_wheel,0,-1,0,,,,,,,,,,,,
lf_roller_6,-3.9926691938752E-07,0.000147336301084378,-3.80752566461751E-07,0,0,0,0.00139539533686545,4.54042363405629E-08,5.62238169144401E-14,-1.21570728550476E-11,2.13340824823764E-08,1.47895570605167E-12,4.5399123192049E-08,0,0,0,0,0,0,package://prometheus_final/meshes/lf_roller_6.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://prometheus_final/meshes/lf_roller_6.STL,,Wheel-1/Rubber_sh-4,Coordinate System24,Axis23,lf_roller_6j,continuous,-0.0029582914855829,-0.0152499897676238,0.0226385887340916,-0.129938290340481,0,1.5707963267949,lf_wheel,0,-1,0,,,,,,,,,,,,
lf_roller_7,3.86995565482273E-07,0.00014734528483562,-3.2680508937899E-07,0,0,0,0.00139539377848831,4.53966040699277E-08,-1.42682709324785E-12,1.12825662192819E-11,2.13340770300682E-08,-1.065136399151E-13,4.54066963836087E-08,0,0,0,0,0,0,package://prometheus_final/meshes/lf_roller_7.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://prometheus_final/meshes/lf_roller_7.STL,,Wheel-1/Rubber_sh-3,Coordinate System25,Axis24,lf_roller_7j,continuous,-0.0224447365510626,-0.0152499897676239,0.00418221563321131,-1.38657535177643,0,1.57079632679491,lf_wheel,0,-1,0,,,,,,,,,,,,
